id,sieve_set_id,screen,start_weight,sort_order,is_active,create_date,create_user_id,edit_date,edit_user_id
BBBBB,10,PAN,276.4,99,1,2014-03-27 09:30:00,20,2017-01-13 02:05:18,689
BBBBB,11,40,268,100,1,2014-03-27 09:30:00,20,2017-01-06 11:01:53,28
BBBBB,11,50,251.8,101,1,2014-03-27 09:30:00,20,2017-01-06 11:01:53,28
BBBBB,11,60,246.8,102,1,2014-03-27 09:30:00,20,2017-01-06 11:01:53,28
BBBBB,11,70,242.1,103,1,2014-03-27 09:30:00,20,2017-01-06 11:01:53,28
BBBBB,11,80,234.9,104,1,2014-03-27 09:30:00,20,2017-01-06 11:01:53,28
BBBBB,11,100,232.9,105,1,2014-03-27 09:30:00,20,2017-01-06 11:01:53,28
BBBBB,11,120,239.8,106,1,2014-03-27 09:30:00,20,2017-01-06 11:01:53,28
BBBBB,11,140,224.3,107,1,2014-03-27 09:30:00,20,2017-01-06 11:01:53,28
BBBBB,11,200,222.8,108,1,2014-03-27 09:30:00,20,2017-01-06 11:01:53,28
BBBBB,11,PAN,240.1,109,1,2014-03-27 09:30:00,20,2017-01-06 11:01:53,28
BBBBB,12,40,266.3,110,1,2014-03-27 09:30:00,20,2017-01-06 11:43:35,28
BBBBB,12,50,259.2,111,1,2014-03-27 09:30:00,20,2017-01-06 11:43:35,28
BBBBB,12,60,241.7,112,1,2014-03-27 09:30:00,20,2017-01-06 11:43:35,28
BBBBB,12,70,242,113,1,2014-03-27 09:30:00,20,2017-01-06 11:43:35,28
BBBBB,12,80,238.6,114,1,2014-03-27 09:30:00,20,2017-01-06 11:43:35,28
BBBBB,12,100,234.3,115,1,2014-03-27 09:30:00,20,2017-01-06 11:43:35,28
BBBBB,12,120,236,116,1,2014-03-27 09:30:00,20,2017-01-06 11:43:35,28
BBBBB,12,140,224.2,117,1,2014-03-27 09:30:00,20,2017-01-06 11:43:35,28
BBBBB,12,200,223.6,118,1,2014-03-27 09:30:00,20,2017-01-06 11:43:35,28
BBBBB,12,PAN,276.5,119,1,2014-03-27 09:30:00,20,2017-01-06 11:43:35,28
BBBBB,13,40,264.2,120,1,2014-03-27 09:30:00,20,2017-01-06 11:46:41,28
BBBBB,13,50,252.1,121,1,2014-03-27 09:30:00,20,2017-01-06 11:46:41,28
BBBBB,13,60,250.9,122,1,2014-03-27 09:30:00,20,2017-01-06 11:46:41,28
BBBBB,13,70,236.4,123,1,2014-03-27 09:30:00,20,2017-01-06 11:46:41,28
BBBBB,13,80,241,124,1,2014-03-27 09:30:00,20,2017-01-06 11:46:41,28
BBBBB,13,100,231.8,125,1,2014-03-27 09:30:00,20,2017-01-06 11:46:41,28
BBBBB,13,120,231.3,126,1,2014-03-27 09:30:00,20,2017-01-06 11:46:41,28
BBBBB,13,140,225,127,1,2014-03-27 09:30:00,20,2017-01-06 11:46:41,28
BBBBB,13,200,219.8,128,1,2014-03-27 09:30:00,20,2017-01-06 11:46:41,28
BBBBB,13,PAN,240.3,129,1,2014-03-27 09:30:00,20,2017-01-06 11:46:41,28
BBBBB,14,30,291.1,130,1,2014-03-27 09:30:00,20,2015-05-01 08:17:41,29
BBBBB,14,40,259.4,131,1,2014-03-27 09:30:00,20,2015-05-01 08:17:41,29
BBBBB,14,45,327.4,132,1,2014-03-27 09:30:00,20,2015-05-01 08:17:41,29
BBBBB,14,50,376.2,133,1,2014-03-27 09:30:00,20,2015-05-01 08:17:41,29
BBBBB,14,60,366.3,134,1,2014-03-27 09:30:00,20,2015-05-01 08:17:41,29
BBBBB,14,70,244.8,135,1,2014-03-27 09:30:00,20,2015-05-01 08:17:41,29
BBBBB,14,80,361.2,136,1,2014-03-27 09:30:00,20,2015-05-01 08:17:41,29
BBBBB,14,100,235.8,137,1,2014-03-27 09:30:00,20,2015-05-01 08:17:41,29
BBBBB,14,PAN,243.3,138,1,2014-03-27 09:30:00,20,2015-05-01 08:17:41,29
BBBBB,14,PAN,NULL,139,0,2014-03-27 09:30:00,20,NULL,NULL
BBBBB,15,40,259.2,140,1,2014-03-27 09:30:00,20,2016-05-21 18:03:03,96
BBBBB,15,50,251.3,141,1,2014-03-27 09:30:00,20,2016-05-21 18:03:03,96
BBBBB,15,60,248.3,142,1,2014-03-27 09:30:00,20,2016-05-21 18:03:03,96
BBBBB,15,70,244.4,143,1,2014-03-27 09:30:00,20,2016-05-21 18:03:03,96
BBBBB,15,80,246.5,144,1,2014-03-27 09:30:00,20,2016-05-21 18:03:03,96
BBBBB,15,100,241.6,145,1,2014-03-27 09:30:00,20,2016-05-21 18:03:03,96
BBBBB,15,120,216.8,146,1,2014-03-27 09:30:00,20,2016-05-21 18:03:03,96
BBBBB,15,140,408.1,147,1,2014-03-27 09:30:00,20,2016-05-21 18:03:03,96
BBBBB,15,200,223.5,148,1,2014-03-27 09:30:00,20,2016-05-21 18:03:03,96
BBBBB,15,PAN,240.8,149,1,2014-03-27 09:30:00,20,2016-05-21 18:03:03,96
BBBBB,16,40,258.7,150,1,2014-03-27 09:30:00,20,2016-10-14 02:01:43,96
BBBBB,16,50,258.8,151,1,2014-03-27 09:30:00,20,2016-10-14 02:01:43,96
BBBBB,16,60,240.3,152,1,2014-03-27 09:30:00,20,2016-10-14 02:01:43,96
BBBBB,16,70,247.2,153,1,2014-03-27 09:30:00,20,2016-10-14 02:01:43,96
BBBBB,16,80,244.8,154,1,2014-03-27 09:30:00,20,2016-10-14 02:01:43,96
BBBBB,16,100,239.2,155,1,2014-03-27 09:30:00,20,2016-10-14 02:01:43,96
BBBBB,16,120,236.6,156,1,2014-03-27 09:30:00,20,2016-10-14 02:01:43,96
BBBBB,16,140,236.4,157,1,2014-03-27 09:30:00,20,2016-10-14 02:01:43,96
BBBBB,16,200,222.7,158,1,2014-03-27 09:30:00,20,2016-10-14 02:01:43,96
BBBBB,16,PAN,274.8,159,1,2014-03-27 09:30:00,20,2016-10-14 02:01:43,96
BBBBB,17,40,264.1,160,1,2014-03-27 09:30:00,20,2016-04-14 07:22:05,345
BBBBB,17,50,252,161,1,2014-03-27 09:30:00,20,2016-04-14 07:22:05,345
BBBBB,17,60,242.7,162,1,2014-03-27 09:30:00,20,2016-04-14 07:22:05,345
BBBBB,17,70,242.8,163,1,2014-03-27 09:30:00,20,2016-04-14 07:22:05,345
BBBBB,17,80,236,164,1,2014-03-27 09:30:00,20,2016-04-14 07:22:05,345
BBBBB,17,100,233.9,165,1,2014-03-27 09:30:00,20,2016-04-14 07:22:05,345
BBBBB,17,120,239.1,166,1,2014-03-27 09:30:00,20,2016-04-14 07:22:05,345
BBBBB,17,140,229.1,167,1,2014-03-27 09:30:00,20,2016-04-14 07:22:05,345
BBBBB,17,200,224.7,168,1,2014-03-27 09:30:00,20,2016-04-14 07:22:05,345
BBBBB,17,PAN,269.5,169,1,2014-03-27 09:30:00,20,2016-04-14 07:22:05,345
BBBBB,18,40,258.5,170,1,2014-03-27 09:30:00,20,2016-05-02 21:27:09,425
BBBBB,18,50,248.9,171,1,2014-03-27 09:30:00,20,2016-05-02 21:27:09,425
BBBBB,18,60,241.9,172,1,2014-03-27 09:30:00,20,2016-05-02 21:27:09,425
BBBBB,18,70,241,173,1,2014-03-27 09:30:00,20,2016-05-02 21:27:09,425
BBBBB,18,80,232.8,174,1,2014-03-27 09:30:00,20,2016-05-02 21:27:09,425
BBBBB,18,100,228.1,175,1,2014-03-27 09:30:00,20,2016-05-02 21:27:09,425
BBBBB,18,120,226.5,176,1,2014-03-27 09:30:00,20,2016-05-02 21:27:09,425
BBBBB,18,140,227.4,177,1,2014-03-27 09:30:00,20,2016-05-02 21:27:09,425
BBBBB,18,200,218.2,178,1,2014-03-27 09:30:00,20,2016-05-02 21:27:09,425
BBBBB,18,PAN,274.1,179,1,2014-03-27 09:30:00,20,2016-05-02 21:27:09,425
BBBBB,19,40,259.5,180,1,2014-03-27 09:30:00,20,2015-10-09 01:01:47,96
BBBBB,19,50,255.6,181,1,2014-03-27 09:30:00,20,2015-10-09 01:01:47,96
BBBBB,19,60,245,182,1,2014-03-27 09:30:00,20,2015-10-09 01:01:47,96
BBBBB,19,70,244.9,183,1,2014-03-27 09:30:00,20,2015-10-09 01:01:47,96
BBBBB,19,80,238.9,184,1,2014-03-27 09:30:00,20,2015-10-09 01:01:47,96
BBBBB,19,100,233,185,1,2014-03-27 09:30:00,20,2015-10-09 01:01:47,96
BBBBB,19,120,239.4,186,1,2014-03-27 09:30:00,20,2015-10-09 01:01:47,96
BBBBB,19,140,225.1,187,1,2014-03-27 09:30:00,20,2015-10-09 01:01:47,96
BBBBB,19,200,221.1,188,1,2014-03-27 09:30:00,20,2015-10-09 01:01:47,96
BBBBB,19,PAN,280.6,189,1,2014-03-27 09:30:00,20,2015-10-09 01:01:47,96
BBBBB,20,40,268.2,190,1,2014-03-27 09:30:00,20,2015-10-12 15:22:11,28
BBBBB,20,50,252.1,191,1,2014-03-27 09:30:00,20,2015-10-12 15:22:11,28
BBBBB,20,60,242.6,192,1,2014-03-27 09:30:00,20,2015-10-12 15:22:11,28
BBBBB,20,70,236.4,193,1,2014-03-27 09:30:00,20,2015-10-12 15:22:11,28
BBBBB,20,80,237.3,194,1,2014-03-27 09:30:00,20,2015-10-12 15:22:11,28
BBBBB,20,100,233.8,195,1,2014-03-27 09:30:00,20,2015-10-12 15:22:11,28
BBBBB,20,120,235.8,196,1,2014-03-27 09:30:00,20,2015-10-12 15:22:11,28
BBBBB,20,140,234,197,1,2014-03-27 09:30:00,20,2015-10-12 15:22:11,28
BBBBB,20,200,218.2,198,1,2014-03-27 09:30:00,20,2015-10-12 15:22:11,28
BBBBB,20,PAN,272.4,199,1,2014-03-27 09:30:00,20,2015-10-12 15:22:11,28
BBBBB,7,PAN,271.6,200,1,2014-03-27 10:21:00,20,2017-01-13 10:55:46,425
BBBBB,21,40,267.3,201,1,2014-03-27 10:28:00,20,2016-01-15 00:36:50,425
BBBBB,21,50,258.9,202,1,2014-03-27 10:28:00,20,2016-01-15 00:36:50,425
BBBBB,21,60,248.8,203,1,2014-03-27 10:28:00,20,2016-01-15 00:36:50,425
BBBBB,21,70,246.7,204,1,2014-03-27 10:28:00,20,2016-01-15 00:36:50,425
BBBBB,21,80,241.8,205,1,2014-03-27 10:28:00,20,2016-01-15 00:36:50,425
BBBBB,21,100,237.3,206,1,2014-03-27 10:28:00,20,2016-01-15 00:36:50,425
BBBBB,21,120,231.8,207,1,2014-03-27 10:28:00,20,2016-01-15 00:36:50,425
BBBBB,21,140,231.1,208,1,2014-03-27 10:28:00,20,2016-01-15 00:36:50,425
BBBBB,21,200,224.1,209,1,2014-03-27 10:28:00,20,2016-01-15 00:36:50,425
BBBBB,21,PAN,276.1,210,1,2014-03-27 10:28:00,20,2016-01-15 00:36:50,425
BBBBB,22,30,NULL,211,1,2014-03-27 11:44:00,20,NULL,NULL
BBBBB,22,40,NULL,212,1,2014-03-27 11:44:00,20,NULL,NULL
BBBBB,22,45,NULL,213,1,2014-03-27 11:44:00,20,NULL,NULL
BBBBB,22,50,NULL,214,1,2014-03-27 11:44:00,20,NULL,NULL
BBBBB,22,60,NULL,215,1,2014-03-27 11:44:00,20,NULL,NULL
BBBBB,22,70,NULL,216,1,2014-03-27 11:44:00,20,NULL,NULL
BBBBB,22,80,NULL,217,1,2014-03-27 11:44:00,20,NULL,NULL
BBBBB,22,100,NULL,218,1,2014-03-27 11:44:00,20,NULL,NULL
BBBBB,22,PAN,NULL,219,1,2014-03-27 11:44:00,20,NULL,NULL
BBBBB,23,30,NULL,220,1,2014-05-19 15:00:00,20,NULL,NULL
BBBBB,23,40,NULL,221,1,2014-05-19 15:00:00,20,NULL,NULL
BBBBB,23,50,NULL,222,1,2014-05-19 15:00:00,20,NULL,NULL
BBBBB,23,70,NULL,223,1,2014-05-19 15:00:00,20,NULL,NULL
BBBBB,23,PAN,NULL,224,1,2014-05-19 15:00:00,20,NULL,NULL
BBBBB,24,30,NULL,225,1,2014-05-19 15:03:00,20,NULL,NULL
BBBBB,24,40,NULL,226,1,2014-05-19 15:03:00,20,NULL,NULL
BBBBB,24,50,NULL,227,1,2014-05-19 15:03:00,20,NULL,NULL
